model,trouble_id,trouble_label,lcd_error_message,meaning,what_to_do
HP LASER 107/108,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP LASER 107/108,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP LASER 107/108,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP LASER 107/108,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP LASER 107/108,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP LASER 107/108,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP LASER 107/108,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP LASER 107/108,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP LASER 107/108,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP LASER 107/108,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP LASERJET 3035,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP LASERJET 3035,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP LASERJET 3035,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP LASERJET 3035,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP LASERJET 3035,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP LASERJET 3035,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP LASERJET 3035,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP LASERJET 3035,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP LASERJET 3035,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP LASERJET 3035,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP LASERJET 3035,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP LASERJET 3035,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP LASERJET 3035,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP LASERJET 3035,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP LASERJET P1102,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP LASERJET P1102,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP LASERJET P1102,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP LASERJET P1102,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP LASERJET P1102,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP LASERJET P1102,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP LASERJET P1102,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP LASERJET P1102,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP LASERJET P1102,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP LASERJET P1102,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP LASERJET P1102,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP LASERJET P1102,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP LASERJET P1102,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP LASERJET P1102,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP P1006,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP P1006,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP P1006,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP P1006,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP P1006,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP P1006,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP P1006,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP P1006,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP P1006,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP P1006,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP P1006,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP P1006,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP P1006,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP P1006,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP P1102,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP P1102,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP P1102,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP P1102,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP P1102,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP P1102,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP P1102,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP P1102,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP P1102,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP P1102,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP P1102,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP P1102,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP P1102,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP P1102,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP-P1505,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP-P1505,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP-P1505,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP-P1505,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP-P1505,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP-P1505,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP-P1505,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP-P1505,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP-P1505,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP-P1505,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP-P1505,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP-P1505,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP-P1505,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP-P1505,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1006,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1006,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1006,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1006,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1006,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1006,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1006,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1006,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1006,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1006,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1006,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1006,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1006,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1006,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1010,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1010,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1010,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1010,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1010,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1010,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1010,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1010,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1010,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1010,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1010,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1010,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1010,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1010,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1015,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1015,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1015,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1015,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1015,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1015,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1015,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1015,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1015,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1015,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1015,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1015,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1015,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1015,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1020,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1020,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1020,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1020,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1020,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1020,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1020,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1020,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1020,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1020,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1020,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1020,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1020,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1020,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1022,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1022,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1022,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1022,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1022,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1022,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1022,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1022,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1022,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1022,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1022,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1022,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1022,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1022,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1102,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1102,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1102,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1102,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1102,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1102,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1102,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1102,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1102,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1102,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1102,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1102,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1102,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1102,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1200,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1200,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1200,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1200,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1200,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1200,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1200,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1200,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1200,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1200,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1200,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1200,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1200,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1200,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1505,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1505,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1505,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1505,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1505,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1505,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1505,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1505,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1505,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1505,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1505,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1505,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
HP1505,362,Network,Memory Low / Job Too Complex,Print job is too large or communication buffer overflowed.,"Simplify job, lower resolution, use USB/direct driver, or add memory on models that support it."
HP1505,469,Toner Low,Low Toner / Replace Cartridge,"Toner cartridge low, empty, or supply memory not read.",Replace cartridge; clean/reseat cartridge contacts if supply memory error appears.
HP1505N,30,Cover Open,Door Open,Top/front/rear door not fully closed.,Close covers; inspect cover switch/actuator.
HP1505N,37,Drum Error,59 Motor Error,Main motor or drive motor startup/rotation fault.,"Check motor connector, gears, toner/drum load and motor assembly."
HP1505N,49,Jamming,13.xx Paper Jam,"Paper jam, delayed feed, or sensor path error.","Clear path and check pickup roller, separation pad, registration/exit sensors."
HP1505N,49,Jamming,Paper Jam / 13.xx,Paper jam or paper path sensor timing error.,"Clear jam, check pickup/separation rollers, paper size, and path sensors."
HP1505N,58,No Power,50 Service / Fuser Error,Fuser failed to warm up or fuser temperature abnormality.,"Power-cycle after cooling; check fuser, power source, LVPS, and fuser connectors."
HP1505N,62,Paper Feed Problem,Manual Feed / Load Tray,Requested tray/paper size not available.,Load correct paper or change driver/app paper source and size.
HP1505N,102,Others,57 Fan Error,Cooling fan failed or blocked.,"Inspect fan, obstruction, connector, and DC controller."
HP1505N,216,Scanner Problem,51 Error,Laser scanner beam detect or laser unit error.,"Check laser/scanner assembly, cable, formatter/DC controller."
HP1505N,216,Scanner Problem,52 Scanner Error,Laser scanner motor speed/rotation error.,Inspect laser scanner motor/cable; replace laser scanner if confirmed.
HP1505N,362,Network,49 Error,Firmware/formatter communication or corrupt print job error.,"Power-cycle, clear print queue, update firmware, isolate formatter/network cause."
HP1505N,362,Network,55 Error,Engine communication/DC controller error.,Check formatter-to-engine connectors; service DC controller/formatter.
HP1505N,362,Network,79 Service Error,"Firmware, formatter, accessory, or network-related service error.","Power-cycle, disconnect network/accessories, update firmware, replace formatter if needed."
